_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_KLEINGARTENANLAGEN_1;006023;346 Wohngartengem. Besthöhe;Försterweg;Försterweg;61;Kleingärten;Eimsbüttel;Stellingen;321;304;01.10.2025;3,1037;;FHH;AGV;POLYGON ((9.929786 53.577871,9.930270 53.578022,9.930894 53.578216,9.930921 53.578205,9.930988 53.578176,9.931061 53.578153,9.931137 53.578134,9.931217 53.578121,9.931298 53.578114,9.931306 53.578087,9.931487 53.577484,9.930923 53.577310,9.929757 53.576975,9.929325 53.576859,9.930236 53.576058,9.930812 53.575494,9.930279 53.575303,9.930279 53.575303,9.930279 53.575303,9.930278 53.575303,9.929800 53.575730,9.928412 53.577152,9.928146 53.577514,9.927940 53.577848,9.927818 53.578093,9.928548 53.578326,9.928595 53.578341,9.929169 53.577677,9.929786 53.577871));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_2;006024;150 Bundesbahn Landwirtschaft;Försterweg;Försterweg;61;Kleingärten;Eimsbüttel;Stellingen;321;304;01.10.2025;0,4747;;Privat;Deutsche Bahn;POLYGON ((9.932053 53.573993,9.932053 53.573990,9.932007 53.574040,9.931965 53.574046,9.931827 53.574155,9.931648 53.574273,9.931286 53.574517,9.931059 53.574644,9.930759 53.574803,9.930694 53.574823,9.930676 53.574841,9.930681 53.574845,9.930279 53.575303,9.930812 53.575494,9.931100 53.575212,9.931504 53.574696,9.931697 53.574365,9.932053 53.573993));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_3;000041;307 Gartenverein Broockkamp;Burgunderweg - Engernweg;Burgunderweg - Engernweg;60;Dauerkleingärten;Eimsbüttel;Niendorf;318;307;01.10.2025;2,6625;;FHH;AGV;POLYGON ((9.973331 53.627230,9.973330 53.627228,9.973325 53.627228,9.973324 53.627228,9.971431 53.627413,9.971430 53.627414,9.971430 53.627414,9.971431 53.627416,9.971454 53.627459,9.971576 53.627668,9.971576 53.627669,9.971578 53.627672,9.971713 53.627884,9.971857 53.628094,9.972011 53.628304,9.972186 53.628509,9.972372 53.628708,9.972567 53.628905,9.972771 53.629099,9.972980 53.629288,9.973197 53.629474,9.973197 53.629474,9.973422 53.629658,9.973422 53.629658,9.973655 53.629837,9.973891 53.630017,9.973835 53.628868,9.973835 53.628868,9.973848 53.628295,9.973848 53.628295,9.973841 53.628193,9.973827 53.628130,9.973610 53.627717,9.973331 53.627230));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_4;000078;;Steinbeker Weg (Barsbüttel);Steinbeker Weg (Barsbüttel);65;Grün an Kleingärten;Wandsbek;Jenfeld;590;0;01.10.2025;1,8311;;FHH;Stadtgrün;POLYGON ((10.150253 53.565787,10.150900 53.565631,10.151054 53.565845,10.151358 53.565776,10.152350 53.565547,10.152579 53.565422,10.152267 53.565289,10.152086 53.565337,10.151931 53.565372,10.151832 53.565372,10.151854 53.565327,10.151567 53.565289,10.152180 53.564322,10.152236 53.564340,10.152322 53.564197,10.152598 53.563982,10.152573 53.563940,10.152883 53.563814,10.152679 53.563506,10.150736 53.563743,10.150537 53.563773,10.150318 53.563815,10.147712 53.564405,10.147710 53.564412,10.147709 53.564418,10.147708 53.564423,10.147666 53.564618,10.147660 53.564644,10.148401 53.565272,10.148493 53.565130,10.148292 53.565062,10.147979 53.564786,10.147740 53.564597,10.147971 53.564530,10.148156 53.564596,10.148333 53.564650,10.148593 53.564476,10.148855 53.564428,10.148901 53.564386,10.150375 53.564871,10.150882 53.565603,10.150322 53.565731,10.150269 53.565728,10.149873 53.565599,10.149650 53.565825,10.149810 53.565893,10.149881 53.565910,10.150253 53.565787),(10.151460 53.565522,10.152247 53.565340,10.152333 53.565469,10.151558 53.565651,10.151492 53.565623,10.151388 53.565656,10.151460 53.565522),(10.150724 53.565240,10.151564 53.565046,10.151565 53.565046,10.151577 53.565048,10.151581 53.565053,10.151587 53.565059,10.151591 53.565066,10.151593 53.565071,10.151592 53.565078,10.151592 53.565085,10.151593 53.565091,10.151276 53.565753,10.151090 53.565796,10.150724 53.565240),(10.151639 53.564978,10.150788 53.565178,10.150550 53.564827,10.150486 53.564842,10.149254 53.564438,10.149187 53.564324,10.150586 53.563992,10.150592 53.564024,10.151845 53.563907,10.152089 53.564257,10.151931 53.564493,10.151750 53.564540,10.151830 53.564661,10.151639 53.564978));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_5;000132;;Bachstücken - Wiesenredder;Bachstücken - Wiesenredder;65;Grün an Kleingärten;Wandsbek;Rahlstedt;526;543;01.10.2025;1,1975;;FHH;Stadtgrün;POLYGON ((10.186376 53.596290,10.186376 53.596290,10.186376 53.596281,10.186376 53.596281,10.186371 53.596136,10.186356 53.596136,10.186344 53.596113,10.186310 53.596083,10.186255 53.596058,10.186200 53.596040,10.186093 53.596016,10.185990 53.596005,10.185628 53.596008,10.185458 53.596024,10.185258 53.596055,10.185064 53.596098,10.184940 53.596133,10.184781 53.596183,10.184608 53.596211,10.184282 53.596215,10.184023 53.596210,10.183801 53.596203,10.183680 53.596196,10.183566 53.596197,10.183280 53.596208,10.183117 53.596219,10.182995 53.596225,10.182638 53.596229,10.182521 53.596229,10.182109 53.596216,10.181810 53.596197,10.181728 53.596188,10.181642 53.596192,10.181534 53.596207,10.181459 53.596228,10.181465 53.596265,10.181419 53.596306,10.181271 53.596522,10.181081 53.596679,10.181010 53.596723,10.180987 53.596778,10.180986 53.596780,10.181314 53.596776,10.181561 53.596773,10.182015 53.596768,10.182090 53.596767,10.182460 53.596763,10.182905 53.596758,10.183421 53.596752,10.183740 53.596748,10.183740 53.596748,10.183823 53.596747,10.183899 53.596746,10.183960 53.596746,10.185414 53.596729,10.185711 53.596725,10.185711 53.596726,10.185681 53.596776,10.185389 53.597268,10.184984 53.597950,10.184838 53.598197,10.184699 53.598432,10.185460 53.598637,10.185654 53.598691,10.185773 53.598724,10.185769 53.598667,10.185770 53.598604,10.185779 53.598591,10.185775 53.598561,10.185718 53.598517,10.185724 53.598491,10.185706 53.598489,10.185671 53.598486,10.185676 53.598465,10.185653 53.598464,10.185659 53.598439,10.185669 53.598403,10.185689 53.598328,10.185698 53.598307,10.186040 53.598335,10.186020 53.598413,10.185950 53.598688,10.185883 53.598685,10.185871 53.598752,10.185983 53.598783,10.186262 53.597786,10.186332 53.597379,10.186369 53.597194,10.186398 53.596938,10.186376 53.596290),(10.186267 53.597324,10.186283 53.597337,10.186289 53.597348,10.186264 53.597440,10.186200 53.597687,10.186158 53.597836,10.186106 53.598058,10.186098 53.598102,10.186094 53.598120,10.186051 53.598313,10.185706 53.598286,10.185755 53.598068,10.185802 53.597856,10.185842 53.597656,10.185888 53.597440,10.185897 53.597401,10.185920 53.597366,10.185966 53.597340,10.185996 53.597332,10.186236 53.597324,10.186267 53.597324),(10.186238 53.596454,10.186191 53.596454,10.186006 53.596455,10.185823 53.596456,10.185787 53.596456,10.185545 53.596458,10.185323 53.596460,10.185101 53.596462,10.184869 53.596463,10.184644 53.596465,10.184417 53.596468,10.184194 53.596470,10.183989 53.596472,10.183962 53.596466,10.183961 53.596466,10.183962 53.596275,10.184885 53.596264,10.184938 53.596195,10.185546 53.596088,10.186125 53.596086,10.186234 53.596117,10.186240 53.596269,10.186238 53.596442,10.186238 53.596454),(10.185822 53.597382,10.185821 53.597438,10.185785 53.597710,10.185755 53.597846,10.185717 53.598016,10.185706 53.598061,10.185681 53.598172,10.185452 53.598550,10.184829 53.598411,10.185091 53.597967,10.185302 53.597603,10.185402 53.597433,10.185450 53.597384,10.185498 53.597367,10.185822 53.597382),(10.185850 53.597250,10.185452 53.597251,10.185620 53.596928,10.185674 53.596820,10.185696 53.596775,10.185755 53.596668,10.185411 53.596678,10.185368 53.596679,10.184923 53.596689,10.184474 53.596694,10.183958 53.596701,10.183960 53.596503,10.184205 53.596498,10.184413 53.596495,10.184639 53.596492,10.184886 53.596489,10.185076 53.596487,10.185320 53.596485,10.185557 53.596484,10.185751 53.596483,10.186004 53.596483,10.186179 53.596481,10.186238 53.596483,10.186236 53.596537,10.186242 53.596742,10.186247 53.597054,10.186020 53.597058,10.185938 53.597106,10.185842 53.597107,10.185850 53.597250),(10.183732 53.596591,10.183737 53.596690,10.183296 53.596696,10.182487 53.596715,10.181904 53.596723,10.181340 53.596735,10.181341 53.596734,10.181609 53.596305,10.182622 53.596297,10.183271 53.596283,10.183720 53.596275,10.183732 53.596591));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_6;000084;;Eckerkoppel;Eckerkoppel;65;Grün an Kleingärten;Wandsbek;Farmsen-Berne;514;545;01.10.2025;0,0639;;FHH;Stadtgrün;POLYGON ((10.111532 53.600883,10.111532 53.600883,10.111552 53.600873,10.111552 53.600873,10.111561 53.600868,10.111475 53.600860,10.110598 53.601322,10.110301 53.601124,10.109669 53.600685,10.109564 53.600679,10.109596 53.600697,10.109755 53.600795,10.109791 53.600818,10.109944 53.600919,10.109945 53.600920,10.110096 53.601023,10.110118 53.601038,10.110267 53.601141,10.110411 53.601244,10.110576 53.601367,10.111532 53.600883));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_7;000085;;Eckerkoppel;Eckerkoppel;65;Grün an Kleingärten;Wandsbek;Farmsen-Berne;514;0;01.10.2025;0,4478;;FHH;Stadtgrün;POLYGON ((10.113408 53.600158,10.113354 53.600165,10.113306 53.600202,10.113299 53.600254,10.112869 53.600230,10.112893 53.600086,10.113125 53.600093,10.113126 53.600124,10.113175 53.600123,10.113173 53.600142,10.113232 53.600147,10.113389 53.600120,10.113356 53.600050,10.113353 53.600043,10.113353 53.600043,10.113353 53.600043,10.113315 53.599982,10.113249 53.599922,10.113224 53.599870,10.113152 53.599719,10.113107 53.599679,10.113053 53.599674,10.112955 53.600001,10.112955 53.600001,10.112955 53.600001,10.112738 53.599978,10.112664 53.600231,10.112636 53.600235,10.112440 53.600226,10.112419 53.600290,10.112129 53.600390,10.112119 53.600413,10.111353 53.600330,10.111352 53.600297,10.111313 53.600297,10.111291 53.600321,10.109917 53.600160,10.109861 53.600150,10.109720 53.600121,10.108764 53.599850,10.108690 53.599824,10.108611 53.599785,10.108582 53.599748,10.108576 53.599721,10.108574 53.599678,10.108710 53.599697,10.108758 53.599554,10.108717 53.599550,10.108818 53.599216,10.108626 53.599195,10.108541 53.599476,10.108488 53.599653,10.108440 53.599812,10.108443 53.599813,10.109783 53.600191,10.109823 53.600197,10.111315 53.600370,10.112109 53.600457,10.112058 53.600616,10.112109 53.600590,10.112732 53.600274,10.112732 53.600274,10.113493 53.600327,10.113489 53.600319,10.113489 53.600319,10.113476 53.600295,10.113450 53.600244,10.113439 53.600222,10.113434 53.600211,10.113431 53.600204,10.113408 53.600158));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_8;000109;;Leeschenblick;Leeschenblick;65;Grün an Kleingärten;Wandsbek;Steilshoop;516;547;01.10.2025;0,1302;;FHH;Stadtgrün;POLYGON ((10.068597 53.615487,10.068752 53.615450,10.068921 53.615573,10.069047 53.615660,10.069100 53.615711,10.069185 53.615791,10.069299 53.615904,10.069767 53.616383,10.069879 53.616479,10.069911 53.616604,10.069822 53.616637,10.069907 53.616713,10.069896 53.616756,10.069941 53.616735,10.069965 53.616503,10.069795 53.616354,10.069711 53.616276,10.069655 53.616223,10.069602 53.616168,10.069364 53.615913,10.069251 53.615796,10.069152 53.615699,10.069152 53.615699,10.069049 53.615610,10.069049 53.615610,10.068900 53.615489,10.068900 53.615489,10.068820 53.615435,10.068820 53.615435,10.068792 53.615413,10.068792 53.615413,10.068770 53.615389,10.068521 53.615449,10.068377 53.615789,10.068729 53.616056,10.068789 53.616102,10.068864 53.616159,10.069261 53.616461,10.069345 53.616525,10.069573 53.616698,10.069602 53.616721,10.069674 53.616776,10.069721 53.616812,10.069735 53.616822,10.069742 53.616827,10.069770 53.616814,10.069380 53.616513,10.068769 53.616046,10.068457 53.615805,10.068597 53.615487));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_9;000244;;Barmwisch;Barmwisch;65;Grün an Kleingärten;Wandsbek;Bramfeld;515;0;01.10.2025;0,4532;;FHH;Stadtgrün;POLYGON ((10.085838 53.602166,10.085971 53.602043,10.086016 53.602002,10.086104 53.601921,10.086148 53.601878,10.086029 53.601829,10.085962 53.601852,10.085730 53.601750,10.085673 53.601725,10.085765 53.601654,10.086188 53.601840,10.086199 53.601829,10.086230 53.601803,10.086285 53.601755,10.086375 53.601683,10.086472 53.601614,10.086575 53.601549,10.086584 53.601543,10.086589 53.601540,10.086681 53.601485,10.086691 53.601480,10.086741 53.601451,10.086790 53.601423,10.086817 53.601408,10.086786 53.601385,10.086771 53.601375,10.086746 53.601373,10.086709 53.601395,10.086517 53.601283,10.086555 53.601256,10.086508 53.601225,10.086517 53.601223,10.086649 53.601149,10.086884 53.601302,10.086832 53.601329,10.086829 53.601339,10.086880 53.601375,10.086902 53.601362,10.086926 53.601355,10.086981 53.601337,10.086875 53.601262,10.086656 53.601110,10.086627 53.601090,10.086550 53.601036,10.086466 53.600996,10.086222 53.601119,10.086169 53.601159,10.085920 53.601345,10.085820 53.601420,10.085790 53.601442,10.085383 53.601741,10.085348 53.601766,10.085478 53.601829,10.085633 53.601902,10.085793 53.601974,10.085911 53.602020,10.085774 53.602143,10.085774 53.602143,10.085666 53.602103,10.085483 53.602036,10.085184 53.601925,10.084904 53.601822,10.084907 53.601820,10.085098 53.601646,10.085053 53.601626,10.085012 53.601611,10.084601 53.601914,10.084593 53.601926,10.084478 53.601913,10.083980 53.601868,10.083814 53.601799,10.083605 53.601716,10.083412 53.601629,10.083261 53.601559,10.083182 53.601522,10.083170 53.601531,10.083536 53.601711,10.083985 53.601933,10.084014 53.601912,10.084673 53.601971,10.085232 53.602022,10.085737 53.602258,10.085838 53.602166),(10.086461 53.601078,10.086525 53.601043,10.086530 53.601046,10.086611 53.601098,10.086635 53.601113,10.086575 53.601146,10.086459 53.601212,10.086424 53.601189,10.086348 53.601141,10.086461 53.601078),(10.085559 53.601813,10.085643 53.601749,10.085754 53.601801,10.085929 53.601882,10.085912 53.601897,10.085913 53.601924,10.085920 53.601960,10.085559 53.601813),(10.085933 53.601429,10.086098 53.601314,10.086550 53.601524,10.086556 53.601527,10.086461 53.601599,10.086413 53.601635,10.086302 53.601715,10.086238 53.601764,10.086200 53.601790,10.085720 53.601581,10.085933 53.601429));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_10;000250;;Rathbusch;Rathbusch;65;Grün an Kleingärten;Hamburg-Nord;Groß Borstel;406;419;01.10.2025;0,0258;;FHH;AGV;POLYGON ((9.986906 53.609055,9.986794 53.609211,9.986937 53.609246,9.987167 53.609309,9.987175 53.609311,9.987174 53.609311,9.986924 53.609072,9.986906 53.609055));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_11;000251;;Rathbusch;Rathbusch;65;Grün an Kleingärten;Hamburg-Nord;Groß Borstel;406;419;01.10.2025;0,0149;;FHH;AGV;POLYGON ((9.985480 53.609213,9.985462 53.609256,9.985466 53.609270,9.985477 53.609271,9.985897 53.609330,9.986056 53.609361,9.986063 53.609348,9.985480 53.609213));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_12;000265;;Reinskamp;Reinskamp;65;Grün an Kleingärten;Hamburg-Mitte;Billstedt;130;116;01.10.2025;0,8778;;FHH;Stadtgrün;POLYGON ((10.131853 53.548358,10.131101 53.547619,10.131485 53.547490,10.131586 53.547593,10.131912 53.547468,10.132007 53.547562,10.132327 53.547460,10.132637 53.547767,10.132787 53.547917,10.132155 53.548140,10.132090 53.548158,10.132192 53.548253,10.131932 53.548330,10.131892 53.548345,10.131900 53.548353,10.132298 53.548310,10.132207 53.548208,10.132541 53.548112,10.132622 53.548216,10.132319 53.548300,10.132305 53.548302,10.132314 53.548308,10.132746 53.548261,10.132574 53.548071,10.132820 53.548010,10.133011 53.548232,10.133577 53.548171,10.133513 53.548067,10.133513 53.548067,10.133343 53.547876,10.133343 53.547876,10.133058 53.547601,10.132797 53.547352,10.132663 53.547311,10.130500 53.547415,10.130789 53.547632,10.131564 53.548390,10.131853 53.548358));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_13;000269;;Grunewaldstraße;Grunewaldstraße;65;Grün an Kleingärten;Wandsbek;Rahlstedt;526;544;01.10.2025;1,1917;;Bund;Bund;POLYGON ((10.147955 53.583254,10.147185 53.583062,10.147104 53.583036,10.146943 53.582958,10.146750 53.582848,10.146689 53.582802,10.146689 53.582802,10.146656 53.582749,10.146656 53.582749,10.146710 53.582649,10.147204 53.582074,10.147847 53.581326,10.147603 53.581274,10.145920 53.581082,10.145895 53.581079,10.145899 53.581284,10.145909 53.581284,10.146044 53.581305,10.146125 53.581321,10.145983 53.581574,10.145753 53.581534,10.145790 53.581147,10.145817 53.581149,10.145817 53.581070,10.145679 53.581055,10.145641 53.581569,10.145621 53.581858,10.145863 53.582645,10.145887 53.582722,10.145930 53.582864,10.145930 53.582864,10.145685 53.583579,10.145970 53.583632,10.146536 53.583740,10.147249 53.583875,10.147292 53.583883,10.147437 53.583857,10.147955 53.583254),(10.147833 53.583306,10.147559 53.583654,10.147404 53.583823,10.147401 53.583824,10.145988 53.583569,10.145989 53.583565,10.146067 53.583368,10.146078 53.583328,10.146339 53.582936,10.147833 53.583306),(10.146369 53.582768,10.145915 53.582658,10.145910 53.582656,10.145855 53.582443,10.145769 53.582188,10.145749 53.582005,10.145799 53.582019,10.145797 53.581966,10.145787 53.581940,10.145779 53.581843,10.145799 53.581651,10.145870 53.581619,10.145877 53.581621,10.146017 53.581658,10.146209 53.581279,10.147254 53.581451,10.147093 53.581898,10.146369 53.582768));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_14;000279;;Flughafenstraße - Raakmoorgraben;Flughafenstraße - Raakmoorgraben;65;Grün an Kleingärten;Wandsbek;Hummelsbüttel;520;0;01.10.2025;1,0942;;FHH;Stadtgrün;POLYGON ((10.026084 53.644550,10.026496 53.644515,10.026864 53.644484,10.026776 53.644342,10.026757 53.644338,10.026738 53.644334,10.026713 53.644330,10.026702 53.644335,10.026726 53.644377,10.026139 53.644516,10.026019 53.644384,10.026645 53.644241,10.026659 53.644280,10.026693 53.644272,10.026710 53.644261,10.026709 53.644250,10.026701 53.644232,10.026691 53.644210,10.026735 53.644203,10.026854 53.644177,10.027021 53.644434,10.027012 53.644438,10.026961 53.644451,10.026941 53.644468,10.026941 53.644477,10.027134 53.644461,10.026533 53.643439,10.026480 53.643346,10.026430 53.643253,10.026396 53.643186,10.026389 53.643172,10.026377 53.643144,10.026368 53.643126,10.026351 53.643090,10.026321 53.643021,10.026315 53.643008,10.026282 53.642926,10.026251 53.642843,10.026222 53.642760,10.026196 53.642677,10.026172 53.642594,10.026151 53.642510,10.026132 53.642426,10.026125 53.642392,10.026119 53.642363,10.026119 53.642363,10.026115 53.642342,10.026114 53.642333,10.026101 53.642258,10.027456 53.642156,10.027428 53.642072,10.027299 53.641680,10.026713 53.641126,10.026682 53.641142,10.026656 53.641164,10.026649 53.641197,10.026752 53.641186,10.026766 53.641200,10.026871 53.641307,10.027068 53.641525,10.027152 53.641631,10.027214 53.641781,10.027294 53.641980,10.027335 53.642080,10.024890 53.642283,10.024890 53.642283,10.024845 53.642249,10.024710 53.641965,10.024562 53.641608,10.024530 53.641493,10.024528 53.641484,10.024514 53.641434,10.024415 53.641461,10.024691 53.642286,10.024689 53.642319,10.024689 53.642319,10.024678 53.642364,10.024851 53.642724,10.024849 53.642725,10.023596 53.643112,10.023923 53.643465,10.024455 53.644046,10.024497 53.644090,10.024513 53.644107,10.024550 53.644144,10.024662 53.644254,10.024731 53.644316,10.024800 53.644377,10.024850 53.644417,10.025047 53.644575,10.025120 53.644627,10.025544 53.644595,10.025561 53.644593,10.025829 53.644571,10.026084 53.644550),(10.025961 53.644512,10.025390 53.644551,10.025215 53.644427,10.025191 53.644432,10.025162 53.644432,10.025131 53.644423,10.024968 53.644283,10.024831 53.644168,10.024761 53.644082,10.024699 53.644015,10.024627 53.643935,10.024552 53.643852,10.024514 53.643810,10.024439 53.643732,10.024312 53.643589,10.024202 53.643468,10.024136 53.643393,10.024034 53.643282,10.024023 53.643270,10.023943 53.643185,10.023882 53.643110,10.023888 53.643089,10.023914 53.643072,10.024048 53.643028,10.024393 53.642919,10.024873 53.642763,10.024901 53.642818,10.025055 53.643124,10.025080 53.643168,10.025093 53.643193,10.025164 53.643355,10.025201 53.643423,10.025268 53.643530,10.025298 53.643569,10.025372 53.643682,10.025429 53.643756,10.025505 53.643869,10.025555 53.643941,10.025648 53.644074,10.025787 53.644274,10.025816 53.644305,10.025961 53.644512),(10.024998 53.642793,10.024960 53.642709,10.024944 53.642679,10.024905 53.642609,10.024825 53.642435,10.024806 53.642400,10.025660 53.642329,10.026041 53.642294,10.026075 53.642481,10.026085 53.642562,10.026087 53.642570,10.026091 53.642592,10.026107 53.642635,10.026171 53.642777,10.026199 53.642842,10.026244 53.642947,10.026286 53.643038,10.026330 53.643129,10.026383 53.643234,10.026448 53.643367,10.026453 53.643387,10.026467 53.643470,10.026480 53.643516,10.026484 53.643535,10.026531 53.643603,10.026669 53.643813,10.026757 53.643946,10.026884 53.644140,10.026710 53.644183,10.026697 53.644155,10.026639 53.644166,10.026048 53.644300,10.025964 53.644319,10.025935 53.644316,10.025918 53.644309,10.025903 53.644295,10.025834 53.644193,10.025741 53.644063,10.025666 53.643953,10.025605 53.643871,10.025467 53.643667,10.025375 53.643529,10.025358 53.643492,10.025248 53.643286,10.025177 53.643158,10.025138 53.643073,10.025056 53.642914,10.024998 53.642793));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_15;000206;;Legienstraße - Querkamp;Legienstraße - Querkamp;65;Grün an Kleingärten;Hamburg-Mitte;Horn;129;0;01.10.2025;0,0625;;FHH;Stadtgrün;POLYGON ((10.105011 53.554867,10.104543 53.554320,10.104539 53.554316,10.104534 53.554310,10.104515 53.554288,10.104510 53.554282,10.104509 53.554282,10.104282 53.554326,10.104282 53.554326,10.104319 53.554385,10.104331 53.554404,10.104373 53.554480,10.104396 53.554568,10.104398 53.554578,10.104398 53.554599,10.104398 53.554635,10.104398 53.554676,10.104381 53.554703,10.104380 53.554703,10.104327 53.554721,10.104342 53.554751,10.104497 53.554723,10.104474 53.554674,10.104458 53.554635,10.104450 53.554607,10.104438 53.554554,10.104433 53.554500,10.104399 53.554425,10.104379 53.554376,10.104382 53.554356,10.104411 53.554347,10.104441 53.554339,10.104486 53.554331,10.104655 53.554535,10.104736 53.554626,10.104792 53.554693,10.104892 53.554786,10.104993 53.554884,10.105092 53.555092,10.105187 53.555073,10.105178 53.555063,10.105056 53.554920,10.105018 53.554876,10.105011 53.554867));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_16;000211;;Eckerkoppel - Ebeersreye;Eckerkoppel - Ebeersreye;65;Grün an Kleingärten;Wandsbek;Farmsen-Berne;514;545;01.10.2025;0,0026;;FHH;AGV;POLYGON ((10.112304 53.595538,10.112191 53.595539,10.112234 53.595602,10.112304 53.595538,10.112304 53.595538));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_17;000227;;Hegenredder;Hegenredder;65;Grün an Kleingärten;Hamburg-Mitte;Billstedt;130;116;01.10.2025;0,0179;;FHH;Stadtgrün;POLYGON ((10.151450 53.549559,10.151178 53.549377,10.151197 53.549569,10.151450 53.549559));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_18;000228;;Hegenredder;Hegenredder;65;Grün an Kleingärten;Hamburg-Mitte;Billstedt;130;116;01.10.2025;0,1284;;FHH;Stadtgrün;POLYGON ((10.151832 53.549817,10.151520 53.549606,10.151542 53.549776,10.150679 53.549825,10.150664 53.549610,10.150664 53.549607,10.150673 53.549607,10.150965 53.549587,10.150945 53.549361,10.151139 53.549351,10.150978 53.549242,10.150972 53.549248,10.150690 53.549554,10.150646 53.549605,10.150644 53.549607,10.150542 53.549725,10.150499 53.549797,10.150475 53.549882,10.151832 53.549817));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_19;005486;630 Wühlmäuse 2000;Hans-Stoll-Straße;Hans-Stoll-Straße;60;Dauerkleingärten;Bergedorf;Neuallermöhe;615;0;01.10.2025;0,9357;;FHH;Stadtgrün;POLYGON ((10.144708 53.491450,10.144565 53.491373,10.144629 53.491328,10.144352 53.491157,10.144582 53.490964,10.144444 53.490707,10.144682 53.490487,10.144674 53.490207,10.144418 53.490103,10.144244 53.489936,10.143931 53.490152,10.143906 53.490298,10.142957 53.490643,10.144379 53.491453,10.144708 53.491450));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_20;000241;;Willersweg - Gehlengraben;Willersweg - Gehlengraben;65;Grün an Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,5744;;FHH;Stadtgrün;POLYGON ((10.025483 53.649499,10.025552 53.649217,10.025647 53.648690,10.025688 53.648463,10.025406 53.648460,10.024902 53.648455,10.024901 53.648480,10.024901 53.648502,10.024900 53.648502,10.024900 53.648504,10.024396 53.648499,10.024394 53.648569,10.024393 53.648627,10.024392 53.648627,10.024392 53.648629,10.023887 53.648673,10.023380 53.648717,10.022873 53.648761,10.022200 53.648819,10.022229 53.648936,10.022368 53.648946,10.022507 53.648959,10.022528 53.648961,10.022530 53.648961,10.022552 53.648964,10.022553 53.648964,10.022576 53.648966,10.022587 53.648921,10.022647 53.648903,10.022714 53.648895,10.022708 53.648850,10.023449 53.648787,10.023457 53.648818,10.023468 53.648826,10.023492 53.648836,10.023520 53.648848,10.023487 53.648880,10.023504 53.648925,10.022807 53.648986,10.022794 53.648943,10.022652 53.648959,10.022640 53.648973,10.022857 53.649002,10.023071 53.649036,10.023283 53.649076,10.023491 53.649121,10.025462 53.649582,10.025483 53.649499),(10.023474 53.649014,10.023599 53.648838,10.023618 53.648797,10.023611 53.648775,10.023646 53.648753,10.023703 53.648751,10.023937 53.648731,10.024191 53.648711,10.024428 53.648691,10.024676 53.648674,10.024936 53.648662,10.025197 53.648650,10.025273 53.648653,10.025545 53.648679,10.025525 53.648827,10.025477 53.649148,10.025434 53.649433,10.025426 53.649485,10.023474 53.649014));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_21;000243;;Gehlengraben;Gehlengraben;65;Grün an Kleingärten;Hamburg-Nord;Langenhorn;432;420;01.10.2025;0,3616;;FHH;Stadtgrün;POLYGON ((10.025857 53.647328,10.025840 53.647286,10.025785 53.647158,10.025769 53.647102,10.025717 53.646983,10.025694 53.646912,10.025662 53.646841,10.025644 53.646790,10.025560 53.646695,10.025472 53.646592,10.025426 53.646541,10.025253 53.646333,10.025194 53.646265,10.025319 53.646217,10.025516 53.646144,10.025449 53.646089,10.025295 53.645960,10.025140 53.645826,10.025687 53.645617,10.025737 53.645600,10.025571 53.645445,10.025435 53.645317,10.024920 53.645491,10.024790 53.645536,10.024793 53.645540,10.024790 53.645541,10.024791 53.645542,10.024733 53.645561,10.024826 53.645638,10.025177 53.645989,10.025207 53.645974,10.025230 53.645998,10.025357 53.646132,10.025153 53.646212,10.024881 53.645900,10.024663 53.645641,10.024733 53.645612,10.024689 53.645576,10.024570 53.645616,10.024692 53.645763,10.025571 53.646803,10.025600 53.646844,10.025996 53.647793,10.026019 53.647820,10.026017 53.647820,10.026018 53.647821,10.026058 53.647808,10.026014 53.647704,10.025956 53.647570,10.025915 53.647466,10.025869 53.647354,10.025857 53.647328));EPSG:4326
